index,beta,alpha,upper,lower,lambda,true_y
2010-08-16,0.265625,0.05000000000000171,0.053485905107237344,-0.08220799463307414,0.9499999999999983,0.0379120460222489
2010-08-17,0.96875,0.06000000000000172,0.06272134015284533,-0.08034593541607934,0.9399999999999983,-0.0149927845861412
2010-08-18,0.75,0.07000000000000173,0.086831191026952,-0.055227880001240404,0.9299999999999983,-0.0213748595847334
2010-08-19,0.375,0.08000000000000174,0.0806373992470374,-0.055101368999716606,0.9199999999999983,-0.0186921330121525
2010-08-20,0.5625,0.09000000000000175,0.06129284973085546,-0.06517859856960047,0.9099999999999983,-0.0102727098557203
2010-08-23,0.21875,0.10000000000000175,0.03640991169238425,-0.07323127379634464,0.8999999999999982,-0.0479961982682554
2010-08-24,0.875,0.11000000000000176,0.061539266147541766,-0.05036512978251137,0.8899999999999982,-0.0134230203321406
2010-08-25,0.265625,0.12000000000000177,0.05672263998031962,-0.060212027985242625,0.8799999999999982,0.0445986378005904
2010-08-26,0.296875,0.13000000000000178,0.032979150712739824,-0.07632215720484901,0.8699999999999982,-0.0412259533219512
2010-08-27,0.34375,0.1400000000000018,0.04144262998501706,-0.07007715419811547,0.8599999999999982,0.013378125946176
2010-08-30,0.265625,0.1500000000000018,0.047997461034782585,-0.049319936498887385,0.8499999999999982,-0.0563770111824899
2010-08-31,0.75,0.1600000000000018,0.04709905424098068,-0.05270365856057849,0.8399999999999982,0.0104896066710194
2010-09-01,0.6875,0.17000000000000182,0.04066648144025582,-0.06262004160436661,0.8299999999999982,0.0121004069340874
2010-09-02,0.1875,0.18000000000000183,0.02945609819802228,-0.06426390910418528,0.8199999999999982,0.0387580102994035
2010-09-07,0.90625,0.19000000000000183,0.0699445689804392,-0.0307047365643914,0.8099999999999982,-0.0133335308694651
2010-09-08,0.5625,0.20000000000000184,0.03408481142831761,-0.05017717567057642,0.7999999999999982,-0.0025199509345131
2010-09-09,0.9375,0.21000000000000185,0.06159305467946767,-0.04896822981025907,0.7899999999999981,-0.0109937682322096
2010-09-13,0.375,0.22000000000000186,0.029957164786920832,-0.058934007390012436,0.7799999999999981,0.0448207798819331
2010-09-14,0.4375,0.23000000000000187,0.04149130409638055,-0.04796282311529855,0.7699999999999981,0.0145046862028816
2010-09-15,0.9375,0.24000000000000188,0.05858809657264745,-0.02298247328258945,0.7599999999999981,-0.0064205678029226
2010-09-17,0.46875,0.2500000000000019,0.03502393690179853,-0.05139963656254792,0.7499999999999981,-0.0080841183999589
2010-09-20,0.96875,0.2600000000000019,0.05261875740050349,-0.038477025582236486,0.7399999999999981,-0.0097880063661629
2010-09-21,0.9375,0.2700000000000019,0.03224915972891337,-0.04120272843876837,0.7299999999999981,0.0032733253449693
2010-09-22,0.59375,0.2800000000000019,0.038907407131950476,-0.037428972342554274,0.7199999999999981,0.0129871955268111
2010-09-23,0.078125,0.2900000000000019,0.062366653890059395,-0.01723376297382519,0.7099999999999981,0.0625203569813339
2010-09-24,0.5,0.20000000000000195,0.04642784723569397,-0.03820474293857237,0.799999999999998,0.0473461205971984
2010-09-27,0.625,0.21000000000000196,0.03986020442885381,-0.0668839014651148,0.789999999999998,0.0200292818755723
2010-09-28,0.75,0.22000000000000197,0.06629954524910675,-0.027650453983080553,0.779999999999998,-0.0272809452708927
2010-09-29,0.15625,0.23000000000000198,0.032723270233149054,-0.05294302236561865,0.769999999999998,0.0729636287258523
2010-09-30,0.65625,0.140000000000002,0.07054647239217816,-0.04131568351245056,0.859999999999998,-0.0260467089381007
2010-10-01,0.3125,0.15000000000000202,0.038056601189460124,-0.06312686441247592,0.849999999999998,-0.0238943201994361
2010-10-05,0.8125,0.16000000000000203,0.052528068121347055,-0.04430711849704305,0.839999999999998,-0.0042704691234523
2010-10-06,0.53125,0.17000000000000204,0.0702567327587476,-0.030147407243303392,0.829999999999998,-0.0172666160209315
2010-10-07,0.53125,0.18000000000000205,0.04379769365427221,-0.04739486639498602,0.819999999999998,-0.0029069787913091
2010-10-08,0.3125,0.19000000000000206,0.06873739088322464,-0.025098508074657046,0.8099999999999979,0.0329306778130118
2010-10-11,0.96875,0.20000000000000207,0.0699199371339445,-0.025873648401608496,0.7999999999999979,0.0222850447894349
2010-10-12,0.9375,0.21000000000000207,0.06086979652637821,-0.0360538118536476,0.7899999999999979,0.0258342035547635
2010-10-13,0.28125,0.22000000000000208,0.044629820812458254,-0.05921770378384006,0.7799999999999979,-0.0299749962207947
2010-10-14,0.5625,0.2300000000000021,0.06411778541191163,-0.02210554682672423,0.7699999999999979,0.0178208965701114
2010-10-15,0.125,0.2400000000000021,0.03794880319825452,-0.04659819549313352,0.7599999999999979,-0.0345576889256353
2010-10-18,0.375,0.15000000000000213,0.059860786466189836,-0.04396420310323863,0.8499999999999979,-0.0357948020773556
2010-10-19,0.8125,0.16000000000000214,0.05178091789447806,-0.05918451908169106,0.8399999999999979,0.0173414750364871
2010-10-20,0.75,0.17000000000000215,0.035000434512985595,-0.06567107831175739,0.8299999999999979,-0.0158848105400232
2010-10-22,0.40625,0.18000000000000216,0.03759533562040131,-0.0598548226640741,0.8199999999999978,0.0144720326085344
2010-10-25,0.21875,0.19000000000000217,0.060437456433226955,-0.026295547107548948,0.8099999999999978,0.0339015516756814
2010-10-26,0.53125,0.20000000000000218,0.04059733151553574,-0.05272183112298354,0.7999999999999978,-0.0041753714104806
